latitude,longitude,hour,day_of_week,impact_distance,event_cause,event_type,requires_road_closure,priority
13.0400041,77.5180991,17,3,78.60723500419944,14,1,0,High
12.9218755,77.6451585,4,1,78.71305803313464,14,1,0,High
12.955622,77.5857083,6,5,78.65996614428188,6,1,0,Low
13.0061469,77.5794348,17,3,0.00012282056016359234,13,1,1,Low
12.95398,77.5852333,4,1,78.65922720225409,14,1,0,Low
13.0664854,77.5998755,3,1,78.69227229101922,2,1,0,Low
12.9328703,77.4879814,7,1,78.55982685599153,14,1,0,Low
12.973175,77.6003961,6,1,78.6773458147739,6,1,0,Low
12.97883573,77.59953728,12,0,78.67743236136036,10,0,0,High
13.0373543,77.6540442,5,1,78.74086097928624,14,1,0,Low
13.0008457,77.6813712,18,3,78.76177639202533,16,1,0,High
12.94457,77.5274017,5,1,78.60063553711295,14,1,0,High
12.9995223,77.6827499,18,3,78.76291774721241,16,1,0,High
13.0418933,77.594705,19,1,78.6830936407918,6,1,0,High
12.975285,77.6256902,19,3,78.7026416320164,7,1,0,High
13.0633917,77.5933483,19,3,78.68532203094007,6,1,0,High
13.063425,77.5933,19,3,78.68527992973416,6,1,0,High
13.0254527,77.6417388,19,3,78.72675543884279,6,1,0,High
12.9233517,77.5904883,19,3,78.65937257437496,13,1,0,Low
13.0001393,77.5840594,4,1,78.66568435348499,14,1,0,High
12.9071221,77.6286395,19,3,78.69434205535535,14,1,0,High
12.927375,77.5806883,19,3,2.24439301376506e-05,13,1,1,Low
12.9169074,77.5950955,22,4,78.66285872274345,7,1,0,Low
12.9667047,77.6615983,8,1,78.73664509799465,7,1,0,Low
12.8966387,77.7202071,19,3,78.7829542567758,16,1,0,Low
12.9463911,77.597326,6,3,0.00014033207046584034,13,1,1,Low
12.9856042,77.5977438,8,1,78.67678030581511,7,1,0,High
12.9077383,77.6005709,8,1,78.66675480803319,14,1,0,High
12.9635109,77.6642122,8,1,78.73869742065236,7,1,0,Low
12.9667073,77.6615616,8,1,78.73660932726573,7,1,0,Low
12.9666867,77.6616478,8,1,78.73669095781966,7,1,0,Low
12.907814,77.6006561,8,1,0.0003955937436288145,14,1,1,High
12.8955737,77.5993711,5,1,78.66357617199746,14,1,0,High
12.92757,77.5832051,20,3,78.65288157272794,13,1,0,Low
13.044697,77.5828546,5,1,78.67187202365628,3,1,0,High
12.9666885,77.6616396,8,1,78.73668316621117,7,1,0,Low
12.9789228,77.5644032,20,3,78.64279420786453,14,1,0,High
12.8636494,77.6725849,3,1,78.73057805537712,2,1,0,Low
12.9219483,77.6002467,15,1,78.66876785464949,14,1,0,High
12.9666597,77.661556,8,1,78.7365959647529,7,1,0,Low
12.946469,77.6986754,11,1,78.76988776482118,4,0,0,High
12.9936273,77.5844677,20,3,0.0001684091743400773,6,1,1,High
12.9465079,77.6986339,20,1,78.76985322273359,14,1,0,High
13.0467058,77.5036495,18,3,78.5940978576038,14,1,0,Low
13.0166142,77.5054464,6,3,78.59088030360084,14,1,0,Low
13.0085677,77.6131497,21,1,2.7330568961250795e-05,4,0,1,Low
13.0309717,77.5364661,19,1,78.62385006295895,14,1,0,High
13.0262806,77.5442344,20,3,78.63073365390964,6,1,0,High
12.9938639,77.5844374,20,3,78.66502034402738,13,1,0,High
12.9188682,77.6687736,21,1,78.73585935326436,14,1,0,High
12.9546127,77.6423399,20,1,78.71565876846952,3,1,0,High
12.936133,77.5187044,21,1,78.59066782289274,14,1,0,High
12.9694079,77.7006346,20,1,78.77559367290925,4,0,0,High
12.9849833,77.5883633,21,1,78.66742598352933,14,1,0,High
13.0127301,77.5545135,20,3,78.63862733337307,14,1,0,High
12.9842019,77.7336286,21,1,78.81057361993187,11,1,0,Low
13.2644465,77.7187627,19,1,9.201809604807479e-05,14,1,1,Low
12.9848257,77.7527586,22,1,78.82954502196024,14,1,0,Low
12.9932986,77.5837571,20,3,78.66425601415526,13,1,0,High
12.9937523,77.5842482,20,3,78.6648153089611,13,1,0,High
12.9938868,77.5841876,20,3,78.6647777580488,13,1,0,High
12.9368467,77.6928653,23,1,78.76257563756562,14,1,0,High
13.0126766,77.5581246,20,3,0.00017705437018773214,13,1,1,Low
12.9513113,77.4994888,23,1,78.5742147822734,14,1,0,Low
13.0160964,77.5068555,21,1,78.5921841851464,14,1,0,Low
12.9807501,77.6028238,21,3,78.68098966645307,7,1,0,High
12.9165983,77.583705,20,3,78.6515720959892,13,1,0,Low
13.0198619,77.6562235,1,2,78.7401159014706,7,1,0,High
13.0191848,77.6555127,1,2,78.73930292780355,7,1,0,High
12.9740913,77.5452252,0,2,78.62308182957122,14,1,0,High
12.9740971,77.5449011,0,2,78.6227631298278,14,1,0,High
12.9688926,77.569795,1,2,78.64645746384487,14,1,0,Low
12.9838737,77.5286068,23,1,78.60830648606138,7,1,0,High
12.9595586,77.5162093,23,1,78.59206616032078,6,1,0,Low
12.9511354,77.5739687,22,1,78.64764794968578,14,1,0,Low
13.0192138,77.5395595,23,1,78.62495288026665,14,1,0,Low
12.9161187,77.5856548,21,3,78.65341666461319,7,1,0,Low
12.9284355,77.6811918,23,1,0.000259064335650499,14,1,1,High
13.0753282,77.4370383,19,3,78.53317202439605,14,1,0,Low
13.2673624,77.7195893,19,3,78.8438803333119,14,1,0,Low
12.9449039,77.4949618,21,3,78.5686937740707,6,1,0,Low
12.9873133,77.6163481,21,3,78.69541155069163,13,1,0,Low
12.969418,77.7006526,21,3,78.77561309012206,4,0,0,High
12.9613232,77.5644194,21,3,0.00028867658374108414,6,1,1,High
12.959419,77.5165897,21,3,78.59241833367712,6,1,0,Low
